Id  , Concurso                                                          , Data      , bola1, bola2, bola3, bola4, bola5, bola6, bola7, bola8, bola9, bola10, bola11, bola12, bola13, bola14, bola15, bola16, bola17, bola18, bola19, bola20, bola21, bola22, bola23, bola24, bola25
1270, "1288                                                            ", 23/11/2015, N    , N    , A    , A    , R    , A    , A    , A    , R    , N     , A     , A     , R     , A     , N     , N     , R     , R     , R     , N     , A     , A     , R     , R     , R
1271, "1289                                                            ", 25/11/2015, R    , R    , A    , A    , R    , A    , N    , N    , A    , A     , N     , A     , R     , A     , R     , R     , R     , R     , A     , R     , A     , N     , A     , R     , R
1272, "1290                                                            ", 27/11/2015, R    , A    , N    , N    , R    , N    , A    , A    , A    , A     , R     , A     , R     , N     , A     , R     , A     , A     , N     , R     , N     , R     , N     , A     , R
1273, "1291                                                            ", 30/11/2015, R    , A    , A    , A    , A    , R    , N    , N    , A    , N     , R     , N     , R     , A     , N     , R     , A     , N     , R     , R     , R     , A     , A     , N     , A
1274, "1292                                                            ", 02/12/2015, R    , N    , N    , A    , A    , A    , R    , R    , A    , R     , R     , A     , A     , N     , R     , A     , N     , A     , R     , A     , A     , N     , N     , R     , N
1275, "1293                                                            ", 04/12/2015, R    , R    , A    , A    , A    , A    , R    , R    , N    , R     , R     , N     , N     , A     , R     , A     , R     , N     , A     , N     , A     , R     , A     , R     , A
1276, "1294                                                            ", 07/12/2015, A    , R    , A    , A    , N    , N    , R    , R    , A    , R     , R     , R     , R     , N     , A     , N     , A     , R     , A     , R     , A     , A     , N     , A     , N
1277, "1295                                                            ", 09/12/2015, A    , A    , N    , A    , A    , R    , A    , A    , N    , R     , R     , R     , R     , R     , N     , A     , N     , R     , N     , A     , A     , A     , R     , N     , R
1278, "1296                                                            ", 11/12/2015, A    , A    , A    , A    , N    , A    , N    , A    , R    , R     , R     , A     , A     , R     , R     , N     , R     , R     , R     , N     , N     , A     , R     , A     , R
1279, "1297                                                            ", 14/12/2015, N    , N    , A    , A    , R    , N    , R    , N    , R    , R     , R     , N     , A     , A     , A     , R     , R     , R     , R     , A     , A     , N     , A     , A     , A
1280, "1298                                                            ", 16/12/2015, A    , R    , N    , N    , A    , R    , R    , A    , R    , A     , A     , R     , A     , A     , A     , A     , R     , R     , A     , N     , N     , R     , N     , N     , N
1281, "1299                                                            ", 18/12/2015, N    , A    , R    , A    , N    , A    , R    , N    , A    , A     , N     , A     , N     , A     , A     , A     , R     , R     , N     , R     , R     , R     , R     , A     , R
1282, "1300                                                            ", 21/12/2015, A    , N    , A    , A    , A    , N    , R    , A    , N    , N     , R     , N     , R     , N     , N     , A     , A     , R     , A     , R     , A     , A     , R     , N     , R
